id,country_name
1,Afghanistan
2,Albania
3,Algeria
4,American Samoa
5,Andorra
6,Angola
7,Anguilla
8,Antigua and Barbuda
9,Argentina
10,Armenia
11,Aruba
12,Australia
13,Austria
14,Azerbaijan
15,Bahrain
16,Bangladesh
17,Barbados
18,Belarus
19,Belgium
20,Belize
21,Benin
22,Bermuda
23,Bhutan
24,Bolivia
25,Bonaire Sint Eustatius and Saba
26,Bosnia and Herzegovina
27,Botswana
28,Brazil
29,British Virgin Islands
30,Brunei
31,Bulgaria
32,Burkina Faso
33,Burundi
34,Cabo Verde
35,Cambodia
36,Cameroon
37,Canada
38,Cayman Islands
39,Central African Republic
40,Chad
41,Chile
42,China
43,Christmas Island
44,Colombia
45,Comoros
46,Congo (Brazzaville)
47,Congo (Kinshasa)
48,Cook Islands
49,Costa Rica
50,Côte d'Ivoire
51,Croatia
52,Cuba
53,Curaçao
54,Cyprus
55,Czechia
56,Denmark
57,Djibouti
58,Dominica
59,Dominican Republic
60,Ecuador
61,Egypt
62,El Salvador
63,Equatorial Guinea
64,Eritrea
65,Estonia
66,Ethiopia
67,Falkland Islands (Islas Malvinas)
68,Faroe Islands
69,Federated States of Micronesia
70,Fiji
71,Finland
72,France
73,French Guiana
74,French Polynesia
75,Gabon
76,Gaza Strip
77,Georgia
78,Germany
79,Ghana
80,Gibraltar
81,Greece
82,Greenland
83,Grenada
84,Guadeloupe
85,Guam
86,Guatemala
87,Guinea
88,Guinea-Bissau
89,Guyana
90,Haiti
91,Honduras
92,Hong Kong
93,Hungary
94,Iceland
95,India
96,Indonesia
97,Iran
98,Iraq
99,Ireland
100,Isle Of Man
101,Israel
102,Italy
103,Jamaica
104,Japan
105,Jersey
106,Jordan
107,Kazakhstan
108,Kenya
109,Kiribati
110,Kosovo
111,Kuwait
112,Kyrgyzstan
113,Laos
114,Latvia
115,Lebanon
116,Lesotho
117,Liberia
118,Libya
119,Liechtenstein
120,Lithuania
121,Luxembourg
122,Macau
123,Macedonia
124,Madagascar
125,Malawi
126,Malaysia
127,Maldives
128,Mali
129,Malta
130,Marshall Islands
131,Martinique
132,Mauritania
133,Mauritius
134,Mayotte
135,Mexico
136,Moldova
137,Monaco
138,Mongolia
139,Montenegro
140,Montserrat
141,Morocco
142,Mozambique
143,Myanmar
144,Namibia
145,Nauru
146,Nepal
147,Netherlands
148,New Caledonia
149,New Zealand
150,Nicaragua
151,Niger
152,Nigeria
153,Niue
154,Norfolk Island
155,North Korea
156,Northern Mariana Islands
157,Norway
158,Oman
159,Pakistan
160,Palau
161,Panama
162,Papua New Guinea
163,Paraguay
164,Peru
165,Philippines
166,Pitcairn Islands
167,Poland
168,Portugal
169,Puerto Rico
170,Qatar
171,Reunion
172,Romania
173,Russia
174,Rwanda
175,Saint Barthelemy
176,Saint Helena Ascension and Tristan da Cunha
177,Saint Kitts and Nevis
178,Saint Lucia
179,Saint Martin
180,Saint Pierre and Miquelon
181,Saint Vincent and the Grenadines
182,Samoa
183,San Marino
184,Sao Tome and Principe
185,Saudi Arabia
186,Senegal
187,Serbia
188,Seychelles
189,Sierra Leone
190,Singapore
191,Sint Maarten
192,Slovakia
193,Slovenia
194,Solomon Islands
195,Somalia
196,South Africa
197,South Georgia And South Sandwich Islands
198,South Georgia and South Sandwich Islands
199,South Korea
200,South Sudan
201,Spain
202,Sri Lanka
203,Sudan
204,Suriname
205,Svalbard
206,Swaziland
207,Sweden
208,Switzerland
209,Syria
210,Taiwan
211,Tajikistan
212,Tanzania
213,Thailand
214,The Bahamas
215,The Gambia
216,Timor-Leste
217,Togo
218,Tonga
219,Trinidad and Tobago
220,Tunisia
221,Turkey
222,Turkmenistan
223,Turks and Caicos Islands
224,Tuvalu
225,U.S. Virgin Islands
226,Uganda
227,Ukraine
228,United Arab Emirates
229,United Kingdom
230,United States
231,Uruguay
232,Uzbekistan
233,Vanuatu
234,Vatican City
235,Venezuela
236,Vietnam
237,Wallis and Futuna
238,West Bank
239,Yemen
240,Zambia
241,Zimbabwe
